City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wailua homesteads,22.0669,-159.378,26.24,80,20,7.72,US,1694501280
1,stanley,54.868,-1.6985,12.1,92,40,1.54,GB,1694501280
2,port douglas,-16.4833,145.4667,23.03,67,6,8.47,AU,1694501281
3,yellowknife,62.456,-114.3525,16.34,85,100,4.12,CA,1694501193
4,ulladulla,-35.35,150.4667,17.07,61,57,3.47,AU,1694501281
5,olonkinbyen,70.9221,-8.7187,3.06,74,100,8.57,SJ,1694501281
6,bethel,41.3712,-73.414,20.26,86,18,1.57,US,1694501282
7,crane,31.3974,-102.3501,20.81,83,50,9.5,US,1694501282
8,punta arenas,-53.15,-70.9167,3.06,93,100,2.06,CL,1694501002
9,la passe,45.5549,-0.8967,19.99,84,97,3.2,FR,1694501282
10,pyhajarvi,67.0701,27.2176,15.39,95,100,5.81,FI,1694501283
11,jamestown,42.097,-79.2353,17.06,99,0,2.06,US,1694501283
12,khovd,48.0056,91.6419,23.49,25,86,1.64,MN,1694501283
13,college,64.8569,-147.8028,8.99,92,100,1.54,US,1694501283
14,edinburgh of the seven seas,-37.0676,-12.3116,12.67,84,100,12.14,SH,1694501283
15,coos bay,43.3665,-124.2179,14.96,94,0,0.0,US,1694501284
16,bilibino,68.0546,166.4372,6.65,76,100,2.15,RU,1694501284
17,orkney,-26.9802,26.6727,7.73,40,0,3.68,ZA,1694501284
18,port-aux-francais,-49.35,70.2167,4.45,92,100,10.54,TF,1694501284
19,ola,59.5833,151.2833,11.75,70,99,1.82,RU,1694501284
20,laguna,38.421,-121.4238,22.83,70,0,3.09,US,1694501285
21,lihue,21.9789,-159.3672,26.58,80,20,7.72,US,1694501285
22,ribeira grande,38.5167,-28.7,22.1,83,20,4.92,PT,1694501285
23,sao jose da coroa grande,-8.8978,-35.1478,23.52,86,4,4.72,BR,1694501285
24,kristiansund,63.1115,7.732,11.36,76,75,2.06,NO,1694501286
25,marsh harbour,26.5412,-77.0636,28.44,73,2,4.25,BS,1694501286
26,kemijarvi,66.7131,27.4306,15.66,93,100,6.06,FI,1694501286
27,akrehamn,59.2667,5.1833,14.44,77,40,6.17,NO,1694501286
28,luderitz,-26.6481,15.1594,14.25,35,0,3.0,NA,1694501286
29,waitangi,-43.9535,-176.5597,11.57,88,53,7.15,NZ,1694501287
30,talnakh,69.4865,88.3972,9.56,69,96,7.18,RU,1694501287
31,kenora,49.8167,-94.4337,8.54,81,20,3.09,CA,1694501287
32,bredasdorp,-34.5322,20.0403,11.26,53,9,2.49,ZA,1694501287
33,awjilah,29.1081,21.2869,24.14,57,0,5.15,LY,1694501287
34,fada,9.5667,8.3,19.84,93,100,1.99,NG,1694501288
35,longyearbyen,78.2186,15.6401,1.91,80,75,3.09,SJ,1694501119
36,ushuaia,-54.8,-68.3,2.81,87,0,2.06,AR,1694500802
37,adamstown,-25.066,-130.1015,21.87,85,83,13.7,PN,1694501288
38,avarua,-21.2078,-159.775,21.03,64,20,3.6,CK,1694501288
39,chibougamau,49.9168,-74.3659,12.79,82,100,2.06,CA,1694501289
40,iqaluit,63.7506,-68.5145,2.85,81,75,2.06,CA,1694501289
41,rongelap,11.1635,166.8941,29.01,79,100,7.19,MH,1694501289
42,blackmans bay,-43.0167,147.3167,13.07,82,75,1.48,AU,1694501289
43,port elizabeth,-33.918,25.5701,11.72,81,75,4.12,ZA,1694501290
44,tekkali,18.6167,84.2333,28.55,79,100,1.86,IN,1694501290
45,mariental,-24.6333,17.9667,6.86,31,0,6.48,NA,1694501290
46,papatowai,-46.5619,169.4708,5.33,85,89,8.67,NZ,1694501290
47,flin flon,54.7682,-101.865,8.04,75,6,3.59,CA,1694501290
48,ust-tsilma,65.441,52.1498,16.07,60,45,2.99,RU,1694501291
49,puerto natales,-51.7236,-72.4875,2.09,95,100,2.98,CL,1694501291
50,isafjordur,66.0755,-23.124,6.45,72,61,3.2,IS,1694501291
51,sisimiut,66.9395,-53.6735,3.88,96,100,10.28,GL,1694501291
52,albany,42.6001,-73.9662,17.72,91,3,1.03,US,1694501123
53,nefta,33.8731,7.8777,26.14,46,0,6.33,TN,1694501292
54,vernon,50.2581,-119.2691,17.74,67,16,2.06,CA,1694501251
55,alofi,-19.0595,-169.9187,21.94,94,41,6.17,NU,1694501292
